CustomerID,Age,Gender,Category,Season,Location,Item Purchased,StoreVisitsPerMonth,TotalSpending,OnlineShopping,MembershipDuration,DiscountUsage,PreferredPaymentMethod,DaysSinceLastPurchase,LoyaltyPoints,AverageBasketSize
1,55,Male,Clothing,Winter,Kentucky,Blouse,14,7719,No,23,5,Credit Card,4,65,7
2,19,Male,Clothing,Winter,Maine,Sweater,6,8764,No,9,5,Cash,16,1,6
3,50,Male,Clothing,Spring,Massachusetts,Jeans,16,9707,No,15,3,Debit Card,24,27,7
4,21,Male,Footwear,Spring,Rhode Island,Sandals,16,3087,Yes,14,8,Credit Card,11,32,9
5,45,Male,Clothing,Spring,Oregon,Blouse,18,5799,No,2,5,Mobile Wallet,10,78,1
6,46,Male,Footwear,Summer,Wyoming,Sneakers,8,2601,No,13,5,Credit Card,28,66,2
7,63,Male,Clothing,Fall,Montana,Shirt,6,169,Yes,19,3,Credit Card,20,30,3
8,27,Male,Clothing,Winter,Louisiana,Shorts,18,4888,Yes,24,3,Credit Card,29,43,6
9,26,Male,Outerwear,Summer,West Virginia,Coat,1,8769,Yes,10,1,Mobile Wallet,29,32,8
10,57,Male,Accessories,Spring,Missouri,Handbag,17,6894,Yes,15,10,Debit Card,29,90,4
11,53,Male,Footwear,Fall,Arkansas,Shoes,3,3866,No,7,3,Credit Card,6,91,1
12,30,Male,Clothing,Winter,Hawaii,Shorts,18,4954,No,19,4,Mobile Wallet,14,11,
13,61,Male,Outerwear,Winter,Delaware,Coat,7,1107,No,8,9,Mobile Wallet,15,49,6
14,65,Male,Clothing,Spring,New Hampshire,Dress,11,2717,No,15,10,Mobile Wallet,20,12,4
15,64,Male,Outerwear,Winter,New York,Coat,2,2634,Yes,18,5,Mobile Wallet,14,95,10
16,64,Male,Clothing,Winter,Rhode Island,Skirt,11,9771,No,2,2,Mobile Wallet,10,18,4
17,25,Male,Accessories,Spring,Alabama,Sunglasses,9,487591,No,3,6,Cash,25,9,7
18,53,Male,Clothing,Winter,Mississippi,Dress,8,866,Yes,16,5,Mobile Wallet,12,27,2
19,52,Male,Clothing,Summer,Montana,Sweater,11,2409,No,8,1,Mobile Wallet,21,30,8
20,66,Male,Clothing,Summer,Rhode Island,Pants,20,9456,Yes,4,2,Credit Card,26,51,2
21,21,Male,Clothing,Winter,Louisiana,Pants,10,1112,Yes,22,3,Mobile Wallet,5,28,6
22,31,Male,Clothing,Winter,North Carolina,Pants,5,2690,No,21,5,Mobile Wallet,2,83,2
23,56,Male,Clothing,Summer,California,Pants,14,7369,Yes,19,1,Mobile Wallet,16,42,4
24,31,Male,Clothing,Winter,Oklahoma,Pants,2,9704,Yes,9,1,Cash,29,26,6
25,18,Male,Outerwear,Fall,Florida,Jacket,9,4204,No,5,6,Cash,21,96,10
26,18,Male,Clothing,Summer,Texas,Hoodie,4,6904,No,11,8,Cash,21,93,8
27,38,Male,Accessories,Spring,Nevada,Jewelry,1,6326,Yes,23,3,Cash,2,34,4
28,56,Male,Clothing,Summer,Kentucky,Shorts,13,5396,Yes,18,5,Cash,18,97,6
29,54,Male,Accessories,Fall,North Carolina,Handbag,7,455,Yes,13,6,Mobile Wallet,9,94,3
30,31,Male,Clothing,Fall,Wyoming,Dress,18,2686,No,23,10,Cash,24,99,10
